0ad	古代战争即时策略游戏
remote	Cuety LPU 控制器
culture-game	推广肯尼亚文化的游戏
cumulocity-agent-pi	Cumulocity Linux 代理
cups	CUPS Snap - Linux 的打印堆栈
curl	用于使用 URL 语法（HTTP、HTTPS 等）进行数据传输的 CLI 工具
curl-snap	使用 URL 与服务器传输数据或从服务器传输数据
curl-httpie	HTTPie 到curl —curl 的强大功能，httpie 的易用性。
curl-simosx	用于使用 URL 语法（HTTP、HTTPS 等）进行数据传输的 CLI 工具
curl-metalink	使用 cURL 下载适用于 Debianish 发行版的 Metalinks
currate	获取汇率
currencyconv	适用于 Linux 桌面的极其简单的货币转换器
cursorly	用手势移动光标。
curtail	Curtail 是一个有用的图像压缩器。
curv	Curv：一种利用数学进行艺术创作的语言
custom-screen-resolution	根据屏幕尺寸、PPI 和缩放级别创建自定义分辨率。
cute-light-text-previewer	快速打开文件并将其翻译成多种语言。
cutelog	Python 的图形日志查看器
cutmidel	通过在中间剪切省略号来缩短文本。
cvescan	Ubuntu 安全漏洞监控/CVE
cwr	Juju 包和护身符的测试运行程序。
cw-sh	从终端节点跟踪 AWS Cloudwatch 日志的最佳方式
cyapass	永远不要再次输入、记住或发明密码。 C'YaPass 允许您设计密码并生成非常强的密码。
cybear-jinni	通过 CyBear Jinni Hub 控制智能设备的应用程序
cyberchef	用于加密、编码、压缩和分析的瑞士网络军刀。
cyberstorm2	科幻游戏
cyph	赛夫
cytopia	城市建设游戏
czkawka	Czkawka - 用 Rust 编写的快速数据清理器
dab-player	每日音频圣经
einstein-riddle	一款有趣且令人上瘾的游戏，将考验您解决问题的能力！
daily-phrases	获取短语在您的社交网络上分享
daily-quotes	收到励志名言通知！
daisycc	Daisy 优化 C/C++ 编译器
dakanji	你在学日语吗？那你需要试试大汉字！
dalfox	DalFox (Finder Of XSS) / 基于Golang的XSS检查和参数分析工具
darius-test-app	大流士测试应用程序
darkan	开源 Runescape 2012 仿真服务器。
darkchat	一个小型的telnet聊天服务器
darktable	摄影师的虚拟灯台和暗室
dart-sass	将 Sass 转换为 CSS
dashboard-controller	面板控制器
dashcode	面板代码
dash-shell	符合 POSIX 标准的 shell
dashkiosk	驱动一组显示仪表板的屏幕
dashkiosk-image-config-isircu	dashkiosk 设备服务器的基本配置
dbptk-desktop	基于 SIARD 2 的数据库的关系数据库查看器
dataclerk	一个简单的服务器来存储您的数据
dataexplore	绘图和数据分析包
datagrip	数据夹
datashare	Datashare 是一个自托管的文档搜索引擎。
dataspell	数据拼写
date-file	用于创建文件名中包含日期的文件的应用程序
easter	计算天主教复活节的日期
dave-gnukem	一款受《毁灭公爵 1》启发的 2D 滚动平台射击游戏
daves-bumpers	目标是将蓝色球放入绿色盒子中。然后！
daves-color-wheels	益智游戏
daves-trails	Dave's Trails 是一款为 Windows 编写的小型简单游戏
davidlao	大卫劳
axis-and-allies-calculator	轴心国与同盟国棋盘游戏的战斗计算器。
davidtc	戴维特
davidvt	大卫
daviorze-first	通过 Web 界面快速连接 WiFi
dayon	易于使用的跨平台桌面远程协助解决方案
dbeaver-ce	通用数据库管理器和 SQL 客户端
dbgate	数据库门
dbtarzan	数据库浏览器
dcmio	DCMIO
dcd	D 编程语言的自动完成服务
dda	DuckDuckGo 即时答案 API 已带到您的终端
ddclient-snap	更新动态 DNS 服务中帐户的动态 DNS 条目。
ddctoolbox	在 Linux、Windows 和 macOS 上创建和编辑 ViPER DDC 文件
ddgr	从终端 DuckDuckGo
ddsol-speedtest	SpeedTest.net node.js 客户端模块
deadbeef-vs	最好的音乐播放器
debris	完全 3D 渲染的小行星克隆
deckboard	甲板
deejai	根据音乐的声音自动生成播放列表
deepin-image-viewer	深度图像查看器
deepin-music	深沉的音乐
deepin-voice-recorder	深度录音机
deep-space-fire	Deep Space Fire 是一款基于名为“战舰”的流行棋盘游戏的游戏，适合两名玩家。
deerportal	四大经典元素与全能鹿神驱动的多人桌游
deezer-unofficial-player	非官方 Deezer 播放器
defold	用于高性能跨平台游戏的游戏引擎
dehasher	这个程序撤销了我的算法。在终端中运行 dehasher 。
deja-dup	保护自己免遭数据丢失
deliver-co	信使
dell-bios-fan-control	管理戴尔笔记本电脑上的 SMBIOS 风扇的简单工具
deltachat-desktop	Delta Chat 是一款通过电子邮件运行的消息传递应用程序
deluge-lukewh	Deluge 是一款功能齐全的跨平台 BitTorrent 客户端
demo-amd64	AMD64 通用包
democracy	努力帮助民主
demo-curl	使用 URL 语法进行数据传输的命令行工具
demon-plane	策略游戏
demonstracao	单行电梯推介为您带来精彩快照
demo-sara	演示萨拉
demo-ssp	演示快照
demo-usbutils	Linux USB 实用程序
demo-waynera	创建快照的演示
demo-wget	从网络恢复文件
denarius	银币
denaro	管理您的个人财务
den	适用于您终端的多人游戏
deno	JavaScript 和 TypeScript 的安全运行时
deployer	Google Play 上的 Deployer 应用程序部署向导以及更多内容。
deployment-playground	Deployment Playground 是一个测试部署项目
depsdev	deps.dev API 的 CLI 客户端
derussy	步行游览德鲁西堡。
deskconnd	网络上安全、跨平台的 IPC
deskconn	通过网络公开您的桌面功能
deskconn-router	通过网络公开您的桌面功能
gmail-app	桌面版 Gmail。
desktopreader	管理门禁系统中使用的 RF-ID 卡。
desktop-vision	桌面视图
desky	桌面支持应用程序
deskypus	桌面猫
destructanks	Destructanks 是一款低多边形破坏游戏
destruction-darius	爆炸并获胜
destructivator	Destructivator 是一款复古风格的平台射击游戏
detd	检测。
dev-docs-io-on-desktop	dev-docs-io-no-desktop
developer-abdollah	噗噗噗
device-checkout	用于管理测试设备的基于 Web 的设备注册表
device-config-demo	Ubuntu 设备配置
device-config-ui	设备配置快照的自定义 UI
devicehubdesktop	devicehub桌面
device-tree-compiler	设备树编译器
devicetree-compiler	简单的snap提供devicetree编译命令
devilutionx	适用于现代操作系统的暗黑破坏神版本
devinfo	开发人员用来检查浏览器规格的系统/浏览器信息页面
devolo-home-network	devolo 家庭网络应用程序可轻松控制您的 devolo 适配器
devoperator	开发运营工具
devrantron	开发者Rantron
dev-time-cli	获取用户在 GitHub 上的当地时间。
devtools	开发工具
devx-cl-tracker	DevX 追踪器
dfix	自动更新D源代码的开发者工具
dfmt	D 编程语言的代码格式化程序
dg-adw-gtk3-theme	受 Yaru 启发的 GTK3 主题。
dgen	Sega dGen 控制台模拟器
dgraph	开源、可扩展、分布式、高可用、快速的图数据库
dhbw-mannheim-schedule	在 CLI 中显示 DHBW Mannheim 时间表
diagon	来自 Markdown 风格表达的 Ascii 艺术生成器。
dialect	语言之间翻译
sword	对话剑
cxcli	缺少与 Dialogflow CX 项目交互的 Dialogflow CLI
diary	记录您的日常生活、事件、情绪、想法或感受等等。
dice	一个简单的骰子游戏
diceware-filiberto	通过连接单词的密码生成器。
chronoburn	模拟人体新陈代谢的实时卡路里计数器
diff-so-fancy	美丽的差异。其实……不……最美的差异。
difftastic	结构化差异工具，根据语法比较文件
digger-classic	1983 经典挖掘机
digibyte-core	基于点对点的去中心化数字货币
digikam	照片管理程序
digital-signage-client	数字标牌系统的 Linux 客户端
dijo	dijo 是一个基于终端的习惯追踪器
dimaappp	python测试包
diminutivecoin	小硬币
dineorder-pos	餐厅销售点
dinfo	数据信息
dingtalk-notifier	只是让钉钉网页版更加引人注目。
dinkr-messaging	说早上好以确保消息安全
dino	即时恐龙
dippi	计算 DPI 和宽高比等显示信息
directpdf	使用 OCR 将图像转换为 PDF 文件。
direnv	direnv——组织你的 .profile
dirksu-hello	GNU 你好，你好世界快照
dirsize	命令行目录报告工具
discographer	发现您喜爱的艺术家的完整唱片！
add-hours-and-minutes	已停产 - 请勿使用
enroute-flight-navigation	已停产 - 请勿使用
discord-canary	免费语音和文字聊天（金丝雀版）
discord	与社区和朋友聊天
dsctriage	Discourse 服务器的命令行筛选工具
discuna	社区蓬勃发展的地方。
diskbuilder	用于为虚拟机构建磁盘映像的实用工具。可通过 YAML 配置并轻松扩展。
disk-space-saver	磁盘空间分析器可节省数百GB！
dismissibledemo	Flutter 演示计数器应用程序
dispute	Nostr 的跨平台客户端
distrobuilder	LXC 和 LXD 的图像生成器
dive	用于探索 docker 镜像中每一层的工具
divoom-cli	命令行工具构建在 divoom API 之上，用于控制 divoom 设备，例如 pixoo。
divoom-gateway	提供带有 swagger UI 的 REST API 网关来控制 divoom 设备。
djlbench	机器学习基准测试工具包
djv	用于电影、视觉效果和计算机动画的电影播放软件。
dlint	鼓励更好、更安全的 Python 编码实践的工具
duolingo-desktop	Duolingo 语言学习应用程序的非官方桌面客户端
dlna-downloader	从支持 DLNA 的设备（例如 HDD VCR 和电视）下载视频、音乐和照片
dlv9	Delve 是 Go 编程语言的调试器。
dmd	D 编程语言的参考编译器
dmidecode-snap	将计算机 DMI 表的内容转储为人类可读的格式
dmidecode-tool	SMBIOS/DMI 表解码器
dmrconfig-carroarmato0	DMRconfig 实用程序，用于通过 USB 编程电缆对数字收音机进行编程。
dms-app	面向经销商的 DMS 应用程序
dm-tools	适用于 Lazy DM 的命令行工具
dmtr	用于网络诊断的系统 ping 包装器（CLI 版本）
hello-world-electron	电子反应
dns-check	测试 DNS 区域文件的有效性
dnsimple-cli	DNSimple 的客户端
dnslookup	使用任何协议进行 DNS 查找的简单命令行工具。
dns-scout	适用于 Linux 的 DNS 资源管理器
dnstap-gael	dnstap：用于 DNS 服务器的结构化且灵活的事件复制格式
docfetcher	文档获取器
docker	Docker 容器运行时
docker-image-save	下载压缩的 Docker 镜像。
docsion	文档
doctl	DigitalOcean 官方命令行界面
documentation-builder	使用折扣创建 HTML 文档
documentnode	写作灵活，轻松发布
dog	dog 是一个命令行 DNS 客户端。
dogecoin-unofficial	狗狗币的参考客户端，一种点对点数字货币，如比特币。
doggo	DNS 命令行客户端。
dogsay	这就像cowsay，但与狗有关。
doh-simosx	使用 libcurl 并发出 DOH 请求的应用程序（通过 HTTPS 的 DNS）
dolearn	用于学习另一种语言词汇的抽认卡应用程序。
dolgia-gsettings-consumer	基本 gsettings 消费者快照
dolphin	文件管理器
dolphin-emulator	Wii/GameCube 模拟器
domination	类似Risk的游戏，但是是多用户的
domisol	多米诺骨牌接龙版本
domodel-diary-electron	简单的密码保护日记
domoticz-gm	功能强大、功能齐全的家庭自动化
domotzpro-agent-publicstore	Domotz网络监控
donaldsebleung-com	我的个人网站已经重新建立了，这次是春天写的
donkey-kong-craze	经典街机游戏的重制版
donothing	...
doomrl	DRL（以前称为 DoomRL）是一款 Roguelike 视频游戏
doorlin	组织者和 Teilen 团队
dopebox	涂料盒
dopewars-text	在纽约街头贩毒发财……
dos32a	高级 DOS 扩展器 DOS/32
dosage-tracker	追踪您的治疗
dosage	剂量是一个漫画书下载器和存档器
dosage-johnblood378	剂量是一个漫画书下载器和存档器
dosbox-jz	开源 PC/MS-DOS 模拟器
dosbox-x	DOSBox 项目的 DOSBox-X 分支
dotdrop	保存一次点文件并将其部署到任何地方
dotman	用于管理点文件的命令行工具。
dotnet-runtime-60	跨平台.NET 运行时。
dotnet-runtime-70	跨平台 .NET Core 运行时。
dotnet-runtime-80	跨平台 .NET Core 运行时。
dotrun	用于运行 Node.js 和 Python 项目的命令行工具
dotup-app	来自 dotup.de 的 Flutter 演示应用程序
douban-fm	Ubuntu 版豆瓣FM。
dtis	Doubletapp 企业应用程序
doukutsu-rs	用 Rust 编写的 Cave Story 引擎的完全可玩的重新实现。
downbook	免费下载您最喜欢的编程电子书！
downloadaccelerator	下载文件的免费工具。
dl-ubuntu-test-iso	轻松下载 Ubuntu Daily ISO 和版本
null	∅
dracula-gtk-theme	德古拉对接端口。
dragonboard	Dragonbaord 支持包
dragon	简单的视频播放器
dragonsapprentice	一款类似于 RPG 的解谜地牢爬行游戏等等！
drakon	DRAKON Editor 是一款用于创建图表的免费工具。
nps-drakon	Drakon 提供了一种管理 UNIX 进程的简单方法。
drawing	适用于 GNOME 桌面的绘图应用程序
drawio	绘图io
drcfrontend	DRC接口
dream-match-tennis	网球比赛
drepl	D 的 REPL
drive	用于命令行的 Google Drive 客户端
drive-password	Drive Password 是一个完全基于 Google Drive 的密码管理器。
drm-info	转储有关 DRM 设备的信息
drmips	教育 MIPS 模拟器
drogue-cli	Drogue IoT 命令行工具
droidian-installer	在支持的设备上安装 Droidian 的简单方法。
dropboxignore	这都是关于丢失的 .dropboxignore 文件。
dscanner	用于 D 源代码分析的开发工具
dsd-carroarmato0	DSD：数字语音解码器
dssim	检查两个或多个 PNG 图像之间的相似性（不相似性）。
dstat-jamiebennett	Dstat 是 vmstat、iostat、mpstat、netstat 和 ifstat 的多功能替代品。
dsv-cli	⚡ 来自 Delinea 的跨平台瑞士军刀工具，用于 DevOps 秘密管理。
dub	应用程序和 D 库的打包和构建管理器
duckdns-kyrofa	让您的 DuckDNS 记录保持最新
ducker	用于云虚拟机的黑客和庸医 dockerd
duck-marines	Duck Marines 是 Sonic Team 的 ChuChu Rocket 的开源跨平台 PC 重制版。
duckmarines	ChuChu火箭重制版
duckpowered	节省能源并拥有高性能设备——同时实现！
dukto	一个简单的跨平台局域网文件传输工具。
dumbproxy	有史以来最愚蠢的 HTTP 代理
dummy-speaker	非常愚蠢的扬声器机器人
dump1090-carroarmato0	Flightaware S 模式解码器
dune-2000	经典策略游戏
dune-2-goldpath	经典策略游戏《沙丘 2》
dungeon-backstage	幕后的地牢
dungeon-crawl	一款开源的 Roguelike 地下城冒险游戏
dunner	基于 Docker 的任务运行工具
dupes	重复数据删除实用程序
duplicity	高效、加密地备份到本地或远程主机
dust	dust (du + rust =dust) 是用 rust 编写的 'du' 的替代品。
dvc	数据版本控制
dwarffortress	矮人要塞世界模拟器。
dwarfos-agent	Dwarfos 系统代理
dwi-refresh-test	测试
dyff	YAML 差异工具
dyna-blaster	DOS版本的炸弹人
dynahack	NetHack 变种
dynamips	恐龙足类
dynamodb-gui-client	DynamoDB 的 GUI 客户端
barcode-reader	用于一维条形码、QR 码、数据矩阵、PDF417、Aztec 码、MaxiCode 的条形码 SDK
dynocsv	将 DynamoDB 表导出为 CSV
e2-sat-editor	解码器的卫星频道列表编辑器：Enigma2、Neutrino
earthcal	通过与地球周期同步来管理时间。
eask-cli	用于构建、运行、测试和管理 Emacs Lisp 依赖项的 CLI
easy2fa	易于使用的 CLI 两因素身份验证客户端
easybash	GNU/Linux 中自动更新和磁盘清理的脚本。
easy-disk-cleaner	磁盘空间分析器可节省数百GB！
easy-file-organizer	简单的文件管理器
easyhour-desktop	轻松时光
easylogin	确保您的登录信息私密且远离云端
easymp3gain	MP3Gain 的 GUI
easy-openvpn-server	一个极其简单的 OpenVPN 服务器。
easyorg	基于 Emacs Org 模式的待办事项列表和注释。
easypos	EasyPos 恢复计费应用程序
easyreflectometry	EasyReflectometry 是用于建模和分析反射数据的科学软件
easyrpg-player	EasyRPG Player 允许您玩用 RPG Maker 2000 和 2003 创建的游戏
tcp-server-client-tool	轻松安装以测试 TCP 连接。
easyvizar-detect	EasyVizAR 耳机的物体检测
easyvizar-edge	EasyVizAR 耳机协调的中心点
ebook2cw	ebook2cw - 将电子书转换为莫尔斯 MP3/OGG
ebuildtester	用于测试 Gentoo ebuild 及其依赖项的工具
ec	Linux EC eeprom 驱动程序
echo2ui	应用程序崩溃时在 UI 中回显
echoserver	一个简单的回显服务器
eclipse	可扩展的工具平台和 Java IDE
eclipse-s-heuer	可扩展的工具平台和 Java IDE
ecoji	Ecoji 将数据编码为表情符号。
edgeauth	适用于 EdgeCA 的 Edge 本机 JWT 身份验证服务
edgeca	内存中的临时 CA
edgehsm	适用于 EdgeCA 的边缘本机 HSM 服务
edgeprov	边缘省
ed-hello	GNU 你好，你好世界快照
edi	简单的终端任务管理器
edubuntu-desktop-installer	Ubuntu Studio 系统安装程序
edukit-bot-kyrofa	用于遥控 edukit 机器人的 ROS 系统
edumips64	免费、可视化、跨平台 MIPS64 CPU 模拟器。
efendi-ac	Efendi Adhan 手表
eggnoggplus	EGGNOGG+，一款本地多人竞技街机游戏
egk-reader	读取 eGK 并通过 Websocket 提供数据。
ego-dev	EGo 可让您在 Intel SGX 上构建、调试和运行 Go 应用程序！
ehlo	虚拟工作场所，鼓励直接在桌面上通过集成通信层进行团队协作。
eight-puzzle-manpreet	八谜Manpreet
linux-einstein	其他平台上的 Einstein - NewtonOS
eisenradio	Radio Collection，可以一次永久缓存多个流。
eiskaltdcpp	使用DC和ADC协议的文件共享程序
ejabberd	ejabberd XMPP 服务器
electerm	电热
electron-auto-update-example	电子自动更新示例
electron-auto-updater	自动电子更新器
electronhelloworld	电子世界
electronic-wechat	macOS 和 Linux 上更好的微信。用电子构建。
electronim	免费/免费开源即时通讯（IM）客户端，基于Electron。
electron-mail	电子邮件
electron-mon3	电子-mon3
electronplayer	基于 Electron 的网络视频服务播放器。支持 Netflix、Youtube、Twitch、Floatplane 等
electronplayer-portuguese	一款在 Linux 上观看您喜爱的节目的应用程序
electron-quick-start	电子快速启动
app-test-electron	街机游戏
electron-store	电子商店
electrontestapp	电子申请
electrontest	测试
electron-todo	电子整体
electron-update-mechanism-example	电子升级机制示例
electrum	轻量级比特币客户端
elegant-screen-recorder	时尚的屏幕
element-desktop	功能丰富的 Matrix.org 客户端
elements	元素周期表
elf-hunter-kyrofa	在目录中搜索奇怪的 ELF 文件
keylight-control	Elgato KeyLight 的 cli 工具
elisa	漂亮实用的音乐播放器，支持在线广播
elite-mahjong	麻将拼图
elixir-launcher	Elixir 游戏
ellaswar	埃拉斯战争
ellipsetron	Ellipsetron 是一款街机/固定射击游戏，灵感来自于 Tempest 和 Gyruss 游戏。
elliptic-curve-plotter	尝试并尝试椭圆曲线及其群定律。
el-novice	单行电梯推介为您带来精彩快照
eloleo	直接咨询并告知我们附近的好产品。
elrond	埃尔隆德
emacs-tealeg	GNU Emacs 24.5
emby-server	将您的视频、音乐、照片和直播电视汇集在一起
emby-theater	将您的视频、音乐、照片和直播电视汇集在一起
e-mikrofirma	e-mikrofirma 重新包装，波兰政府计费工具
emoj	表情符号
emote	现代弹出表情符号选择器
empoche	Empoche 将自动时间跟踪与任务和项目管理结合起来。了解您的时间都花在哪里并提高工作效率
emqx	适用于 IoT、IIoT 和联网车辆的最具扩展性的 MQTT 代理
emu2	emu2 - 一个简单的 x86 + DOS 文本模式模拟器
emu48	HP48 计算器模拟器
flasher-enapter	用于上传适用于各种 Enapter UCM 套件的 Espressif ESP32 芯片的最新 Enapter IoT 固件的应用程序。
enclock	安全存储您的信息！
end-dayz	类似 DayZ 的游戏，你需要寻找食物和水
endlesssky	《无尽的天空》是一款沙盒风格的太空探索游戏。
energycoind	守护能源币
energy-tools	适用于能源之星和 ErP Lot 3 或 Lot 26 的电动工具
engaged	马夫
engauge-digitizer	以交互方式将位图图表或地图转换为数字。
enigma-game	恩尼格玛谜题游戏
enonic	Enonic XP 的命令行界面
enote	埃诺特
enpass	离线密码管理器和安全保管库。保存并填写您的所有密码、卡和其他数据。
enprot	Enprot 是文本和源代码文件的保密处理器。
entropypianotuner	一款钢琴调音应用
enum4linux	枚举来自 Windows 和 Samba 系统的信息
envgit	使用 env 执行另一个命令。从放置在 git 存储库中的文件加载的变量
envprint-arno	第一张快照
envs	CLI 管理您环境的秘密。
envsecrets	CLI 管理您环境的秘密。
eomap-js	无限地图编辑器
eos-voter	EOS投票者
epa-desktop-client	EPA 桌面客户端白标签
epicakigl	史诗
epicegl	埃皮采格尔
epicpinballpc	史诗弹球共享软件
epictask	*Github* 问题都是你的！
epipolar-consistency	任意两个 X 射线图像的一致性条件。
epitopepredict	MHC 结合预测工具
epmo-test	smartsheet 创建文件夹和工作表快照
eqonomize-hk	为小家庭提供高效、轻松的会计服务
eraserix-3003-sensors	读取并打印一些 Dells 3003 传感器
erin	艾琳
erlang	Erlang/OTP 编程语言和 Rebar3 构建工具。
errcheck	go 程序未选中错误检查器
escaneamento	SAAS_扫描
espanso	用 Rust 编写的跨平台文本扩展器
etcd	CoreOS 的弹性键值存储
etcd-manager	具有现代用户界面的免费跨平台 ETCD 客户端
eternallands	Eternal Lands 是一款免费的图形 MMORPG
eternalmodmanager	《DOOM Eternal》的模组管理器。
ethercalc-dholbach	EtherCalc 是一个网络电子表格。
ethr-johanburati	TCP、UDP 和 HTTP 网络性能测量工具
e-tools	开发人员的工具箱。颜色选择器、代码格式化器等
etrace	etrace 跟踪程序以进行调试或性能分析
eucalyptus-console	Eucalyptus 管理控制台与您的 Eucalyptus 云一起使用
eucalyptus-tools	Euca2ools 与您的 Eucalyptus 云一起使用
eureka-doom-editor	Eureka 是经典 DOOM 游戏的地图编辑器。
euruspro-desktop	euruspro-桌面
everactive-cli	用于 Everactive IoT 平台的 CLI
everdo	Everdo 是一款适用于所有平台的高级 GTD 和任务应用程序
eversticky	与 Evernote 同步的便签客户端。
evince	适用于流行文档格式的文档查看器
xganolasmc	适合初学者的原生 Bash 应用程序。
exelearning	用于创建教育资源的免费开源编辑器。
exercism	https://exercism.io 的命令行客户端
exers	敏捷数字标牌的简单示例
exodus-kubelogin	实现 Azure 身份验证的 Kubernetes 凭据 (exec) 插件
exoscale-cli	Exoscale 命令行工具
expect	自动化交互式应用程序
expense-sentry	费用哨兵
explode-bricks	非常简单的积木游戏
exploding-kittens-in-electron	桌面版卡牌游戏《Exploding Kittens》的粉丝移植版
express-pos	市场上最快、最干净、最安全的方式来处理您的日常业务交易
extia-webapp	非官方 Extia 网络应用程序
extract-deb	提取 .deb 包
extreme-tux-racer	基于Tux Racer 的高速北极赛车游戏。
eog	GNOME 图像查看器之眼
eztv-watcher	eztv-watcher 是一个命令行实用程序，用于监视 eztv 上的程序并将种子下载到所需的目录。
fab-agon-emulator	Fab Agon 模拟器
fablemaker	互动故事，您可以自定义角色、文本和声音！
fabrica	只需将 Web 表单指向 git 树即可创建快照
fabulist	项目和团队沟通
facebook-webapp	Facebook 网络应用程序
facebook-webapp-mardy	Facebook 网络应用程序
factory-serial-vault	工厂的串行安全
fades	虚拟环境自动处理系统
fail	快照宇宙中最重要的快照
fairtris	经典俄罗斯方块®视频游戏的公平实现。
fakecam	假相机
fakedns	适合渗透测试人员和恶意软件分析师的小型 DNS 代理
falang	法兰IDE
falkon	网页浏览器
fallen-leaves	落叶
farfadox-launcher	Farfadox 官方启动器。
farm-kill	在僵尸杀死你之前杀死尽可能多的僵尸！
fast-crypt	使用 AES（高级加密标准）快速加密和解密您的文本。
fast-crypto-exchange	即时、无限制、无账户的加密货币兑换商
fast	在终端上测试您的互联网下载速度。
favirecon	使用 favicon.ico 改善您的目标识别阶段
fbots	微服务工作负载管理
fbrary	从命令行管理您的有声读物库。
fbreader	您最喜欢的电子书阅读器 - 新版本
fbuilder	基于流程的可视化编程
fcal	命令行日历视图
fcbnetmap	FCB部署中使用lldp将交换机端口映射到主机端口的工具
fcbtest	fcbtest 是 Rally + Tempest + refstack 测试
fce-ipmi	fce-ipmi 简化了与“ipmitool”的交互
fclones	高效的重复文件查找器和删除器
fclones-gui	交互式重复文件查找器和删除器
fcole90-hexgl-webapp	HexGL 的 Web 应用程序
fdic	STDIN 的字典过滤器
feathernotes	轻量级笔记管理器
fedistar	Fediverse 多栏桌面客户端。
feedly-gui	Feedly 即时版本
feedreader	用于多个 Web 服务的 RSS 客户端
feeling-finder	一个基于 Flutter 的快速、美观的表情符号选择器。
feenics-kiosk	Feenics Kiosk 应用程序可自动执行访客入住和退房、旅游创建和徽章打印。
feenics-universal	适用于 Linux 的 Feenics 通用客户端
fennec	这个 fennec 包提供了一种处理 CI 脚本的方法
fennma-hello	单行电梯推介为您带来精彩快照
ferdi	费迪
ferdium	将您最喜欢的消息服务合并到一个应用程序中
feren-os-theme	Feren OS 的官方风格。
feroxbuster	用 Rust 编写的简单、快速、递归的内容发现工具
fetch-btc	比特币价格查找器
ffdiaporama-c18	照片和视频剪辑的电影制作者
ffmpeg-2204	core22 的 ffmpeg 内容快照
ffmpeg	用于录制、转换和流式传输音频和视频的完整解决方案。
panda-video-converter	适用于 Linux 发行版的 Panda Video Converter
ffmpeg-integration-lgpl	用于消费者快照的 FFmpeg 快照集成阶段（符合 LGPL）
ffqueue	FFmpeg 的图形用户界面
ffsend	从命令行轻松安全地共享文件。
fguerzoni-hello	GNU 你好，你好世界快照
fial3d	具有 ASCII 图形的 3D 四连胜游戏
fiduswriter	学术协作文字处理器
fields	用于解析柱状文本的 CLI 工具
fifo	先进先出
figlet	将大字母转换为纯文本的程序
figma-linux	Figma Linux
filebot	最好的电视和电影重命名器
filefly	在同一网络上的 Windows、Mac 和 Linux 设备之间共享文件。
filegrunt	图像文件比较实用程序
filelight	查看磁盘使用信息
filemail-desktop	文件邮件桌面
file-manager	Linux 下的文件管理器
fileserve	简单的基于 Golang 的文件服务器，用于从当前工作目录提供静态文件
fileshare	文件共享
filme	电影洪流助手实用程序
filmographer	只需点击一下即可观看所有电影！
findwords	查找包含给定字母或字母范围的单词的程序
fingerpaint	使用笔记本电脑的触摸板绘图
fingrom	开源平台独立财务会计应用
finroc-snap	my-finroc-snap-app 摘要
firecamp	火场
firefox	Mozilla 火狐浏览器
firemox	集换式卡牌游戏
firestr	草计算平台
firetruck	Firestore Reconnect 重新构想
firewing64	3D平台
foxe-wine	免费 XML 编辑器
fishing-funds	在菜单栏中显示中国资金的实时走势。
fistful-of-gun	该游戏是一款西方自上而下的街机射击游戏
fivefifteen	五点一刻
five-or-more	GNOME 5 个或更多
fiwe	菲维工作室
fjira	适用于 Jira 的 Fuzzy Finder 和 TUI 应用程序。
fkill	惊人地杀死进程。跨平台。
flaarum	强制结构的数据库
flacon-tabetai	Flacon 从包含整个音乐专辑的音频文件中提取曲目，并将它们保存为单独的音频文件。
flagd	具有 Unix 哲学的资源标志守护进程
flameshot	功能强大且简单易用的截图软件
flappy	最好的“扑通扑通”游戏
flasharch	闪存 SWF 阅读器
flashcardsmobile	最好的抽认卡应用程序。
flasktemp	烧瓶应用程序
flasktemp-v2	烧瓶应用程序
flatbuffers	FlatBuffers 编译器
flat-remix	平面混音图标主题
flat-remix-gtk	Flat Remix GTK 主题
flawfinder	检查 C/C++ 源代码并报告潜在的安全漏洞
flbmusic	一款美观、功能丰富的音乐播放器
flen	STDIN 的字长过滤器
flexran	FlexRAN SD-RAN 平台
flif	免费无损图像格式所需的所有工具
flightgear	飞行装备
flock-chat	Flock：团队沟通应用程序
flokk-contacts	弗洛克联系方式
flowchartor	流程图
flow	CLI 开发运营
flstudio	Image-Line 开发的数字音频工作站。
fluent-amqp	AMQP 实用程序
fluent-bit	高性能日志和流处理器
fluffychat	【矩阵】里最可爱的使者
flutter-calculator	用 dart 和 flutter 编写的简单计算器。
flutter-codemagic-example	Flutter Codemagic 示例
flutter-desktop-sample	桌面计数器应用程序
flutter	颤动SDK
flutter-folio	可在您的所有设备上无缝运行的剪贴簿应用程序
flutter-gallery-bugra	颤振画廊
flutter-gallery	颤振画廊
flutter-listview-preview	Flutter 列表视图应用程序
flutter-manager	振动管理器
fnmap	nmap 的 GUI
opentrivia	颤振开放问答
flutter-portal-test	用于测试 Flutter 中门户支持的应用程序
flutter-system-monitor	使用 Flutter 制作的系统监视器（rtop）应用程序
fluttertestapp	Flutter 演示 Linux 计数器应用
flutter-ui-challenges	Flutter UI 挑战
andrea-flyctl	Fly.io 的命令行界面
flyway	数据库的版本控制
fman	适用于 Mac、Windows 和 Linux 的双窗格文件管理器
focusfocus	焦点焦点
folding-at-home-fcole90	在家折叠 - 通过分布式计算帮助研究
foliate	以时尚的方式阅读电子书
fontvuer	字体
foobar2000	foobar2000 是一个先进的免费软件音频播放器。
foobillard-plus	台球游戏模拟器
foot-terminal	快速、轻量且简约的 Wayland 终端模拟器
forecast	Gnome 天气应用
foreplay	预提交挂钩管理器
forest-app	森林
forest-server	林业服务器
forexgeneral-trader	使用 OANDA 的 REST API 进行货币交易
