0ad	Forn stríðsleikur í rauntíma
deezer-unofficial-player	Óopinber Deezer spilari
defold	Leikjavélin fyrir afkastamikil leikjaspilun á vettvangi
dehasher	Þetta forrit afturkallar reikniritið mitt. til að keyra tegund dehasher í flugstöðinni.
deja-dup	Verndaðu þig gegn gagnatapi
deliver-co	Sendiboði
dell-bios-fan-control	Einfalt tól til að stjórna SMBIOS viftu á Dell fartölvu
deltachat-desktop	Delta Chat er skilaboðaforrit sem virkar með tölvupósti
deluge-lukewh	Deluge er BitTorrent viðskiptavinur með fullri lögun
demo-amd64	AMD64 almennur pakki
democracy	Reyna að hjálpa til við lýðræðið
demo-curl	skipanalínutól fyrir gagnaflutning með setningafræði vefslóða
demon-plane	Stefna leikur
demonstracao	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
demo-sara	kynningu-sara
demo-ssp	demo snap
demo-usbutils	Linux USB tól
demo-waynera	sýning á því að búa til skyndimynd
demo-wget	endurheimta skrár af vefnum
denarius	Denaríus
denaro	Stjórnaðu persónulegum fjármálum þínum
den	Fjölspilunarleikur fyrir flugstöðina þína
deno	Öruggur keyrslutími fyrir JavaScript og TypeScript
deployer	Dreifingarhjálparforrit á Google Play og aðeins meira.
deployment-playground	The Deployment Playground er tilraunaverkefni
depsdev	CLI viðskiptavinur fyrir deps.dev API
derussy	Gönguferð um Fort DeRussy.
deskconnd	Öruggur IPC þvert á vettvang á netinu
deskconn	Sýndu virkni skjáborðsins þíns yfir netið
deskconn-router	Sýndu virkni skjáborðsins þíns yfir netið
gmail-app	Gmail fyrir skjáborð.
desktopreader	Stjórna RF-ID kortum sem notuð eru í aðgangsstýringarkerfinu.
desktop-vision	Skjáborðssýn
desky	Desky stuðningsforrit
deskypus	Deskypus
destructanks	Destructtanks er eyðileggingarleikur með litlum fjölliðum
destruction-darius	SPRENGÐI HLUTI OG UNNIÐ
destructivator	Destructivator er plataskytta í retro-stíl
detd	Það.
dev-docs-io-on-desktop	dev-docs-io-no-desktop
developer-abdollah	طش هیم
device-checkout	Vefbundin tækjaskrá til að stjórna prófunarbúnaði
device-config-demo	Ubuntu tækjastillingar
device-config-ui	Sérsniðið notendaviðmót fyrir tækjastillingar Snap
devicehubdesktop	devicehub skrifborð
device-tree-compiler	Tækjatré þýðandi
devicetree-compiler	Einfalt smella til að veita devicetree þýðanda skipun
devilutionx	Diablo útgáfa fyrir nútíma stýrikerfi
devinfo	Upplýsingasíða fyrir kerfi/vafra sem forritarar nota til að athuga vafraforskriftir
devolo-home-network	Devolo Home Network appið til að stjórna devolo millistykkinu þínu auðveldlega
devoperator	DevOps verkfæri
devrantron	devRantron
dev-time-cli	Fær staðartíma notenda á GitHub.
devtools	þróunarverkfæri
devx-cl-tracker	DevX rekja spor einhvers
dfix	Þróunartól til að uppfæra D frumkóðann sjálfkrafa
dfmt	Kóðasnið fyrir D forritunarmálið
dg-adw-gtk3-theme	GTK3 þema innblásið af Yaru.
dgen	Sega dGen leikjahermi
dgraph	Opinn uppspretta, stigstærð, dreifður, mjög fáanlegur og hraður grafgagnagrunnur
dhbw-mannheim-schedule	birta DHBW Mannheim áætlunina í CLI
diagon	Ascii listframleiðendur frá markdown-stíl tjáningu.
dialect	Þýddu á milli tungumála
sword	Samræðu sverð
cxcli	Vantar Dialogflow CLI til að hafa samskipti við Dialogflow CX verkefnin þín
diary	Skráðu daglegt líf þitt, atburði, tilfinningar, hugsanir eða tilfinningar og fleira.
dice	Einfaldur teningaleikur
diceware-filiberto	Lykilorðsframleiðandi með því að sameina orð.
chronoburn	Kaloríuteljari í rauntíma sem líkir eftir efnaskiptum manna
diff-so-fancy	Fallegur munur. Eiginlega... nei... Fallegasti munurinn.
difftastic	Uppbyggt diff tól sem ber saman skrár út frá setningafræði þeirra
digger-classic	1983 Klassísk gröfu
digibyte-core	Jafningi byggður dreifður stafrænn gjaldmiðill
digikam	Myndastjórnunarforrit
digital-signage-client	Linux viðskiptavinur fyrir Digital Signage kerfi
dijo	dijo er venja sem byggir á endastöðvum
dimaappp	python próf pakki
diminutivecoin	Smámynt
dineorder-pos	Veitingastaður sölustaður
dinfo	DInfo
dingtalk-notifier	Gerðu bara vefútgáfuna af dingtalk meira áberandi.
dinkr-messaging	Segðu góðan daginn til að tryggja skilaboð
dino	Augnablik Dino
dippi	Reiknaðu skjáupplýsingar eins og DPI og stærðarhlutfall
directpdf	Umbreyttu myndum í PDF skrá með OCR.
direnv	direnv -- Skipuleggðu .prófílinn þinn
dirksu-hello	GNU Halló, Hello World snap
dirsize	Skipanalínuskrárskýrslutólið
discographer	Uppgötvaðu ALLA skífumynd listamannanna sem þú elskar!
add-hours-and-minutes	Hætt - má ekki nota
enroute-flight-navigation	Hætt - má ekki nota
discord-canary	Ókeypis radd- og textaspjall (kanaríútgáfa)
discord	Spjallaðu fyrir samfélög og vini
dsctriage	Skipanalínuskimunartæki fyrir orðræðuþjóna
discuna	Þar sem samfélög þrífast.
diskbuilder	Tól til að búa til diskamyndir fyrir sýndarvélar. Stillanlegt af YAML og auðvelt að útvíkka.
disk-space-saver	Plássgreiningartæki sem sparar hundruð gígabæta!
dismissibledemo	Flutter demo counter app
dispute	Þverpalla viðskiptavinur fyrir Nostr
distrobuilder	Myndasmiður fyrir LXC og LXD
dive	Tól til að kanna hvert lag í docker mynd
divoom-cli	Skipanalínuverkfæri byggt ofan á divoom API til að stjórna divoom tækjum eins og pixoo.
divoom-gateway	REST API gátt með swagger notendaviðmóti til að stjórna divoom tækjum.
djlbench	Verkfærasett fyrir viðmiðun vélanáms
djv	Kvikmyndaspilunarhugbúnaður til notkunar í kvikmyndum, sjónbrellum og tölvuteiknimyndum.
dlint	Tól til að hvetja til betri og öruggari Python kóðunaraðferða
duolingo-desktop	Óopinber skrifborðsforrit fyrir Duolingo tungumálanámsforritið
dlna-downloader	Hladdu niður myndböndum, tónlist og myndum frá DLNA-tækjum eins og HDD myndbandstækjum og sjónvörpum
dlv9	Delve er villuleit fyrir Go forritunarmálið.
dmd	Tilvísunarþýðandi fyrir D forritunarmálið
dmidecode-snap	Skiptir innihaldi DMI töflu tölvunnar í læsilegt snið fyrir menn
dmidecode-tool	SMBIOS/DMI töfluafkóðari
dmrconfig-carroarmato0	DMRconfig tól til að forrita stafræn útvarp með USB forritunarsnúru.
dms-app	DMS app fyrir sölumenn
dm-tools	Skipanalínuverkfæri fyrir lata DM
dmtr	kerfisping umbúðir fyrir netgreiningu (CLI útgáfa)
hello-world-electron	ElectronReact
dns-check	Prófaðu réttmæti DNS svæðisskráa
dnsimple-cli	Viðskiptavinur fyrir DNSimple
dnslookup	Einfalt skipanalínuverkfæri til að gera DNS uppflettingar með því að nota hvaða samskiptareglur sem er.
dns-scout	DNS Explorer fyrir Linux
dnstap-gael	dnstap: Uppbyggt og sveigjanlegt afritunarsnið viðburða fyrir DNS netþjóna
docfetcher	DocFetcher
docker	Docker gáma keyrslutími
docker-image-save	Sækja rennilásar Docker myndir.
docsion	Skjal
doctl	Opinbera DigitalOcean skipanalínuviðmótið
documentation-builder	Búðu til HTML skjöl úr afslætti
documentnode	Sveigjanleg skrif, auðveld útgáfa
dog	dog er skipanalínu DNS viðskiptavinur.
dogecoin-unofficial	Tilvísunarviðskiptavinur fyrir Dogecoin, jafningja-til-jafningja stafrænan gjaldmiðil eins og Bitcoin.
doggo	DNS skipanalínubiðlari.
dogsay	Þetta er eins og kýr, en með hund.
doh-simosx	Forrit sem notar libcurl og gerir DOH beiðnir (DNS yfir HTTPS)
dolearn	Flashcard app til að læra orðaforða fyrir annað tungumál.
dolgia-gsettings-consumer	Basic gsettings consumer snap
dolphin	Skráastjóri
dolphin-emulator	Wii/GameCube keppinautur
domination	Leikur eins og Risk, en fjölnotandi
domisol	Dominos Solitaire útgáfa
domodel-diary-electron	Einföld dagbók með lykilorði
domoticz-gm	Öflug, lögun-létt heimilis sjálfvirkni
domotzpro-agent-publicstore	Domotz netvöktun
donaldsebleung-com	Persónulega vefsíðan mín hefur verið endurreist, að þessu sinni skrifuð í vor
donkey-kong-craze	Endurgerð af klassíska spilakassaleiknum
donothing	...
doomrl	DRL (áður DoomRL) er roguelike tölvuleikur
doorlin	Skipuleggjendur og Teilen im Team
dopebox	DopeBox
dopewars-text	Græða stórfé á að selja eiturlyf á götum New York...
dos32a	Háþróaður DOS Extender DOS/32
dosage-tracker	Fylgstu með meðferðum þínum
dosage	dosage er teiknimyndasöguforrit og skjalavörður
dosage-johnblood378	dosage er teiknimyndasöguforrit og skjalavörður
dosbox-jz	Opinn uppspretta PC/MS-DOS keppinautur
dosbox-x	DOSBox-X gaffli DOSBox verkefnisins
dotdrop	Vistaðu punktaskrárnar þínar einu sinni og settu þær upp hvar sem er
dotman	Skipanalínutól til að stjórna punktaskrám.
dotnet-runtime-60	Þverpalla .NET keyrslutími.
dotnet-runtime-70	Cross-platform .NET Core keyrslutími.
dotnet-runtime-80	Cross-platform .NET Core keyrslutími.
dotrun	Skipanalínuverkfæri til að keyra Node.js og Python verkefni
dotup-app	Flutter kynningarforrit frá dotup.de
douban-fm	Douban FM fyrir Ubuntu.
dtis	Doubletapp fyrirtækjaforrit
doukutsu-rs	Fullkomlega spilanleg endurútfærsla á Cave Story vélinni skrifuð í Rust.
downbook	Sæktu uppáhalds forritunarbækurnar þínar ÓKEYPIS!
downloadaccelerator	Ókeypis tól til að hlaða niður skrám.
dl-ubuntu-test-iso	Hladdu auðveldlega niður Ubuntu Daily ISO og bragði
null	∅
dracula-gtk-theme	Dracula tengikví.
dragonboard	Dragonbaord stuðningspakki
dragon	einfaldur myndbandsspilari
dragonsapprentice	RPG eins og þrautalausn dýflissuskriðleikur og fleira!
drakon	DRAKON Editor er ókeypis tól til að búa til skýringarmyndir.
nps-drakon	Drakon býður upp á einfalda leið til að stjórna UNIX ferlum.
drawing	Teikniforrit fyrir GNOME skjáborðið
drawio	draw.io
drcfrontend	DRC tengi
dream-match-tennis	Tennis leikur
drepl	A RPL fyrir D
drive	Google Drive viðskiptavinur fyrir skipanalínu
drive-password	Drive Password er lykilorðastjóri sem byggir algjörlega á Google Drive.
drm-info	Henda upplýsingum um DRM tæki
drmips	Fræðandi MIPS hermir
drogue-cli	Drogue IoT skipanalínutólið
droidian-installer	Auðveld leið til að setja upp Droidian á studdum tækjum.
dropboxignore	Þetta snýst allt um .dropboxignore skrána sem vantar.
dscanner	Þróunartól fyrir D frumkóðagreiningu
dsd-carroarmato0	DSD: Digital Speech Decoder
dssim	Athugaðu hvort (ó)líkt sé á milli tveggja eða fleiri PNG-mynda.
dstat-jamiebennett	Dstat er fjölhæfur staðgengill fyrir vmstat, iostat, mpstat, netstat og ifstat.
dsv-cli	⚡ Þverpalla svissnesk herhnífstæki fyrir DevOps leyndarmálastjórnun frá Delinea.
dub	Pökkunar- og byggingarstjóri fyrir forrit og D bókasöfn
duckdns-kyrofa	Haltu DuckDNS skránum þínum uppfærðum
ducker	a hacky og quack dockerd fyrir ský VMs
duck-marines	Duck Marines er opinn uppspretta, þvert á vettvang PC endurgerð af ChuChu Rocket Sonic Team.
duckmarines	ChuChu Rocket endurgerð
duckpowered	Sparaðu orku og vertu með afkastamikið tæki - á sama tíma!
dukto	Einfalt þvert á palla LAN skráaflutningstæki.
dumbproxy	Heimskasti HTTP proxy alltaf
dummy-speaker	Mjög heimskur hátalarabot
dump1090-carroarmato0	Flightaware Mode S afkóðari
dune-2000	Klassískur tæknileikur
dune-2-goldpath	Klassíski tæknileikurinn Dune 2
dungeon-backstage	Dýflissan á bak við tjöldin
dungeon-crawl	Opinn uppspretta fantalíkt ævintýri í gegnum dýflissur
dunner	Verkfærahlaupari sem byggir á Docker
dupes	Afritunarforrit
duplicity	Skilvirkt, dulkóðað öryggisafrit fyrir staðbundna eða fjarlæga gestgjafa
dust	ryk (du + ryð = ryk) er valkostur við 'du' skrifað með ryði.
dvc	Gagnaútgáfa
dwarffortress	Dwarven Fortress heimshermir.
dwarfos-agent	Dwarfos System Agent
dwi-refresh-test	próf
dyff	YAML diff tól
dyna-blaster	DOS útgáfa af Bomberman
dynahack	NetHack afbrigði
dynamips	Dinamipes
dynamodb-gui-client	GUI viðskiptavinur fyrir DynamoDB
barcode-reader	Strikamerki SDK fyrir 1D strikamerki, QR kóða, Data Matrix, PDF417, Aztec Code, MaxiCode
dynocsv	Flytja út DynamoDB töflu í CSV
e2-sat-editor	Ritstjóri gervihnattarásarlista fyrir afkóðara: Enigma2, Neutrino
earthcal	Stjórnaðu tíma með því að samstilla við hringrás jarðar.
eask-cli	CLI til að byggja, keyra, prófa og stjórna Emacs Lisp ósjálfstæði þinni
easy2fa	Auðvelt í notkun tveggja þátta auðkenningarbiðlara fyrir CLI
easybash	Forskrift fyrir sjálfvirkar uppfærslur og diskahreinsun í GNU/Linux sjálfkrafa.
easy-disk-cleaner	Plássgreiningartæki sem sparar hundruð gígabæta!
easy-file-organizer	Auðvelt að skipuleggja skrár
easyhour-desktop	Auðveldur tími
easylogin	Haltu innskráningum þínum persónulegum og utan skýsins
easymp3gain	GUI fyrir MP3Gain
easy-openvpn-server	Einstaklega einfaldur OpenVPN netþjónn.
easyorg	Verkefnalistar og athugasemdir byggðar á Emacs Org ham.
easypos	EasyPos restro innheimtuforrit
easyreflectometry	EasyReflectometry er vísindalegur hugbúnaður til að búa til líkan og greina endurspeglunargögn
easyrpg-player	EasyRPG Player gerir þér kleift að spila leiki búna til með RPG Maker 2000 og 2003
tcp-server-client-tool	Settu upp auðveldlega til að prófa TCP tengingar.
easyvizar-detect	Hlutagreining fyrir EasyVizAR heyrnartól
easyvizar-edge	Miðpunktur fyrir samhæfingu EasyVizAR heyrnartóla
ebook2cw	ebook2cw - breytir rafbókum í Morse MP3/OGG
ebuildtester	Tól til að prófa Gentoo ebuild og ósjálfstæði þess
ec	Linux EC eeprom bílstjóri
echo2ui	bergmál í HÍ ef forrit hrun
echoserver	Einfaldur echo server
eclipse	Stækkanlegur verkfæravettvangur og Java IDE
eclipse-s-heuer	Stækkanlegur verkfæravettvangur og Java IDE
ecoji	Ecoji umritar gögn sem emojis.
edgeauth	Edge Native JWT Authentication Service fyrir EdgeCA
edgeca	Hverfult CA í minningu
edgehsm	Edge Native HSM þjónusta fyrir EdgeCA
edgeprov	edgeprov
ed-hello	GNU Halló, Hello World snap
edi	einfaldur verkefnastjóri fyrir útstöðvar
edubuntu-desktop-installer	Ubuntu Studio System Installer
edukit-bot-kyrofa	ROS kerfi fyrir fjarstýrðan edukit bot
edumips64	Ókeypis, sjónrænn MIPS64 örgjörvahermir á milli palla.
efendi-ac	Efendi Adhan Watch
eggnoggplus	EGGNOGG+, samkeppnishæfur staðbundinn fjölspilunarspilaleikur
egk-reader	Les eGKs og veitir gögn í gegnum Websocket.
ego-dev	EGo gerir þér kleift að smíða, kemba og keyra Go forrit á Intel SGX!
ehlo	Sýndarvinnustaður sem hvetur til samvinnu teymis með samþættu samskiptalagi beint á skjáborðið þitt.
eight-puzzle-manpreet	EightPuzzleManpreet
linux-einstein	Einstein - NewtonOS á öðrum kerfum
eisenradio	Radio Collection, getur varanlega vistað marga strauma í einu.
eiskaltdcpp	skráaskiptaforrit sem notar DC og ADC samskiptareglur
ejabberd	ejabberd XMPP þjónn
electerm	rafmagns hita
electron-auto-update-example	rafeinda sjálfvirk uppfærsla dæmi
electron-auto-updater	sjálfvirkur rafeindauppfærsla
electronhelloworld	electronolamundo
electronic-wechat	Betra WeChat á macOS og Linux. Byggt með rafeind.
electronim	Ókeypis/ókeypis opinn uppspretta spjallforrit (IM) viðskiptavinur byggður á Electron.
electron-mail	Tölvupóstur
electron-mon3	rafeind-mon3
electronplayer	Rafeindabundinn myndbandsþjónustuspilari á netinu. Styður Netflix, Youtube, Twitch, Floatplane og fleira
electronplayer-portuguese	Forrit til að horfa á eftirlæti þitt á Linux
electron-quick-start	rafeindahraðstart
app-test-electron	spilakassa leikur
electron-store	Rafeindaverslun
electrontestapp	rafræn umsókn
electrontest	próf
electron-todo	rafeinda-heil
electron-update-mechanism-example	Dæmi um rafeindauppfærslukerfi
electrum	Léttur Bitcoin viðskiptavinur
elegant-screen-recorder	Stílhreinn skjár
element-desktop	Eiginleikaríkur viðskiptavinur fyrir Matrix.org
elements	lotukerfið
elf-hunter-kyrofa	Leitaðu í möppunni að undarlegum ELF skrám
keylight-control	cli tól fyrir Elgato KeyLight
elisa	Fallegur hagnýtur tónlistarspilari með útvarpsstuðningi á netinu
elite-mahjong	Mahjong þraut
elixir-launcher	Elixir Gaming
ellaswar	EllasWar
ellipsetron	Ellipsetron er spilakassa/fast skotleikur innblásinn af leikjunum Tempest og Gyruss.
elliptic-curve-plotter	Spilaðu og gerðu tilraunir með sporöskjulaga ferla og hóplögmál þeirra.
el-novice	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
eloleo	Hafðu beint samband og upplýstu okkur um góðar vörur í nágrenninu.
elrond	Elrond
emacs-tealeg	GNU Emacs 24.5
emby-server	Taktu saman myndböndin þín, tónlist, myndir og sjónvarp í beinni
emby-theater	Taktu saman myndböndin þín, tónlist, myndir og sjónvarp í beinni
e-mikrofirma	e-mikrofirma endurpökkun, innheimtutæki pólska ríkisins
emoj	broskörlum
emote	Nútímalegur sprettigluggi emoji veljari
empoche	Empoche sameinar sjálfvirka tímamælingu við verkefna- og verkefnastjórnun. Vita hvert tíminn fer og vertu afkastameiri
emqx	Stærstasti MQTT miðlarinn fyrir IoT, IIoT og tengd farartæki
emu2	emu2 - Einfaldur x86 + DOS textahamur keppinautur
emu48	HP48 reiknihermi
flasher-enapter	Umsókn um að hlaða upp nýjustu Enapter IoT vélbúnaðinum fyrir Espressif ESP32 flöguna fyrir breitt úrval Enapter UCM pökkum.
enclock	Geymdu upplýsingarnar þínar á öruggan hátt!
end-dayz	DayZ-líkur leikur þar sem þú þarft að leita að mat og vatni
endlesssky	Endless Sky er geimkönnunarleikur í sandkassastíl.
energycoind	Daemon EnergyCoin
energy-tools	Rafmagnsverkfæri fyrir Energy Star og ErP Lot 3 eða Lot 26
engaged	brúðguma
engauge-digitizer	Umbreyttu bitamyndatöflu eða korti á gagnvirkan hátt í tölur.
enigma-game	Enigma ráðgáta leikurinn
enonic	Skipanalínuviðmót fyrir Enonic XP
enote	athugið
enpass	Ótengdur lykilorðastjóri og örugg hvelfing. Vistar og fyllir út öll lykilorð þín, kort og önnur gögn.
enprot	Enprot er trúnaðarvinnsla fyrir texta- og frumkóðaskrár.
entropypianotuner	Forrit til að stilla píanó
enum4linux	Telur upp upplýsingar frá Windows og Samba kerfum
envgit	framkvæma aðra skipun með env. breytur hlaðnar úr skránni sem er sett í git geymsluna
envprint-arno	Fyrsta skyndimynd
envs	CLI stjórnun á leyndarmálum umhverfisins þíns.
envsecrets	CLI stjórnun á leyndarmálum umhverfisins þíns.
eomap-js	Óendanlegur kortaritill
eos-voter	eos kjósandi
epa-desktop-client	epa-skrifborð-viðskiptavinur-hvítt merki
epicakigl	epískt
epicegl	Epicegl
epicpinballpc	Epic Pinball Shareware
epictask	*Github* mál eru tíkin þín!
epipolar-consistency	Samræmisskilyrði fyrir allar tvær röntgenmyndir.
epitopepredict	tól fyrir MHC bindingarspá
epmo-test	smartsheet býr til möppu og blaðsmella
eqonomize-hk	Skilvirkt og auðvelt bókhald fyrir litlar fjölskyldur
eraserix-3003-sensors	Lestu og prentaðu nokkra Dells 3003 skynjara
erin	Erin
erlang	Erlang/OTP forritunarmál og Rebar3 byggingartól.
errcheck	Villuleit af hakað fyrir go forrit
escaneamento	SAAS_skönnun
espanso	Textaútvíkkandi þvert á vettvang skrifað í Rust
etcd	Resilient Key-Value Store frá CoreOS
etcd-manager	Ókeypis ETCD viðskiptavinur á milli vettvanga með nútíma notendaviðmóti
eternallands	Eternal Lands er ókeypis grafískt MMORPG
eternalmodmanager	Mod manager fyrir DOOM Eternal.
ethercalc-dholbach	EtherCalc er veftöflureikni.
ethr-johanburati	Mælingartæki fyrir netafköst fyrir TCP, UDP og HTTP
e-tools	Verkfærakista fyrir forritara. Litaplokkari, kóðasniðari og fleira
etrace	etrace rekur forrit fyrir villuleit eða frammistöðugreiningu
eucalyptus-console	Tröllatrésstjórnunartölva til notkunar með tröllatrésskýinu þínu
eucalyptus-tools	Euca2ools til að nota með Eucalyptus skýinu þínu
eureka-doom-editor	Eureka er kortaritill fyrir klassíska DOOM leiki.
euruspro-desktop	euruspro-skrifborð
everactive-cli	CLI fyrir Everactive IoT vettvang
everdo	Everdo er háþróað GTD og verkefni app fyrir alla vettvang
eversticky	Límmiði viðskiptavinur sem samstillir við Evernote.
evince	Skjalaskoðari fyrir vinsæl skjalasnið
xganolasmc	Native Bash app fyrir byrjendur.
exelearning	Ókeypis, opinn ritstjóri til að búa til fræðsluefni.
exercism	Skipanalínubiðlari fyrir https://exercism.io
exers	Einfalt dæmi um stafræn skilti með lipurð
exodus-kubelogin	Kubernetes persónuskilríki (exec) viðbót sem útfærir Azure auðkenningu
exoscale-cli	Exoscale skipanalínutólið
expect	Sjálfvirkur gagnvirk forrit
expense-sentry	Kostnaður Sentinel
explode-bricks	mjög einfaldur múrsteinn leikur
exploding-kittens-in-electron	Aðdáendahöfn kortaleiksins, Exploding Kittens fyrir skjáborðið
express-pos	Hraðasta, hreinasta og öruggasta á markaðnum til að sjá um dagleg viðskipti þín
extia-webapp	Óopinber Extia vefapp
extract-deb	Dragðu út .deb pakka
extreme-tux-racer	Háhraða heimskautakappakstursleikur byggður á Tux Racer.
eog	Eye of GNOME myndskoðara
eztv-watcher	eztv-watcher er skipanalínuforrit sem fylgist með forritum á eztv og hleður niður straumum í viðkomandi möppu.
fab-agon-emulator	Fab Agon keppinautur
fablemaker	Gagnvirkar sögur þar sem þú getur sérsniðið persónur, texta og hljóð!
fabrica	Búðu til skyndimyndir með því einfaldlega að benda vefformi á git-tré
fabulist	Verkefni og teymi samskipti
facebook-webapp	Facebook vefforrit
facebook-webapp-mardy	Facebook vefforrit
factory-serial-vault	Serial safe fyrir verksmiðju
fades	Kerfi fyrir sjálfvirka meðferð sýndarumhverfis
fail	Mikilvægasta snap í snap alheiminum
fairtris	Sanngjarn útfærsla á Classic Tetris® tölvuleiknum.
fakecam	Fölsuð myndavél
fakedns	Örlítið DNS umboð fyrir skarpskyggniprófara og malware sérfræðinga
falang	Falang IDE
falkon	Vefskoðari
fallen-leaves	fallin lauf
farfadox-launcher	Opinber Farfadox sjósetja.
farm-kill	Drepa eins marga zombie og hægt er áður en þeir drepa þig!
fast-crypt	Dulkóðaðu og afkóðuðu textana þína fljótt með AES (Advanced Encryption Standard).
fast-crypto-exchange	Augnablik, ótakmarkaður, reikningslaus dulritunarskipti
fast	Prófaðu niðurhalshraða internetsins á flugstöðinni.
favirecon	Notaðu favicon.ico til að bæta markviðurkenningarstigið þitt
fbots	Örþjónustustjórnun vinnuálags
fbrary	Stjórnaðu hljóðbókasafninu þínu frá skipanalínunni.
fbreader	Uppáhalds rafbókalesarinn þinn – ný útgáfa
fbuilder	Flæðisbundin sjónræn forritun
fcal	Skipanalínudagatalssýn
fcbnetmap	Tól til að kortleggja skiptitengi til hýsingargátta með því að nota lldp í FCB uppsetningu
fcbtest	fcbtest er Rally + Tempest + refstack próf
fce-ipmi	fce-ipmi einfaldar samskipti við 'ipmitool'
fclones	Duplicate File Finder og Remover
fclones-gui	Gagnvirkur afrit skráaleitar og fjarlægari
fcole90-hexgl-webapp	Vefforrit fyrir HexGL
fdic	Orðabókasía fyrir STDIN
feathernotes	Léttur seðlastjóri
fedistar	Fediverse multi-dálka skrifborðsbiðlari.
feedly-gui	Feedly Instant útgáfa
feedreader	RSS viðskiptavinur fyrir margar vefþjónustur
feeling-finder	Fljótur og fallegur emoji veljari byggður á Flutter.
feenics-kiosk	Feenics Kiosk appið gerir sjálfvirkan inn- og útritun gesta, gerð ferðaferða og prentun merkja.
feenics-universal	Feenics Universal Client fyrir Linux
fennec	Þessi fennec pakki veitir leið til að meðhöndla CI forskriftir
fennma-hello	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
ferdi	Ferdi
ferdium	Sameina uppáhalds skilaboðaþjónustuna þína í eitt app
feren-os-theme	Opinber stíll Feren OS.
feroxbuster	Einfalt, hratt og endurkvæmt efnisuppgötvunartæki skrifað í Rust
fetch-btc	BTC verðleitari
ffdiaporama-c18	Kvikmyndagerðarmaður úr myndum og myndskeiðum
ffmpeg-2204	ffmpeg innihald snapp fyrir core22
ffmpeg	Heildarlausn til að taka upp, umbreyta og streyma hljóð og mynd.
panda-video-converter	Panda myndbandsbreytir fyrir Linux dreifingar
ffmpeg-integration-lgpl	FFmpeg snap samþættingarstigið fyrir neytendamyndir (samhæft LGPL)
ffqueue	GUI fyrir FFmpeg
ffsend	Deildu skrám auðveldlega og örugglega frá skipanalínunni.
fguerzoni-hello	GNU Halló, Hello World snap
fial3d	3D fjögurra í röð leikur með ASCII grafík
fiduswriter	Akademískt samvinnuritvinnsla
fields	CLI tól til að flokka dálkatexta
fifo	Fifo
figlet	Forrit til að breyta stórum stöfum í venjulegan texta
figma-linux	figma-linux
filebot	Besti endurnefnari sjónvarps og kvikmynda
filefly	Deildu skrám á milli Windows, Mac og Linux tækja á sama neti.
filegrunt	Myndaskráasamanburðarforrit
filelight	Skoðaðu upplýsingar um disknotkun
filemail-desktop	Filemail skrifborð
file-manager	skráastjóri fyrir linux
fileserve	Einfaldur Golang-undirstaða skráaþjónn til að þjóna kyrrstæðum skrám úr núverandi vinnuskrá
fileshare	Deiling skráa
filme	Hjálparforrit fyrir kvikmyndastraum
filmographer	Horfðu á ALLAR kvikmyndir þínar með einum smelli!
findwords	Forrit til að finna orð sem innihalda tiltekna stafi eða stafabil
fingerpaint	Teiknaðu með snertiborði fartölvunnar
fingrom	Opinn uppspretta vettvangur óháð fjárhagsbókhaldsforrit
finroc-snap	my-finroc-snap-app samantekt
firecamp	Eldsvið
firefox	Mozilla Firefox vafri
firemox	Safnkortaleikur
firestr	Grass tölvuvettvangurinn
firetruck	Firestore Reconnect endurmynduð
firewing64	3D pallur
foxe-wine	Ókeypis XML ritstjóri
fishing-funds	Sýndu rauntíma þróun kínverskra sjóða á valmyndastikunni.
fistful-of-gun	Leikurinn er vestrænn spilakassaskotaleikur að ofan
fivefifteen	korter yfir fimm
five-or-more	GNOME fimm eða fleiri
fiwe	Fiwe stúdíó
fjira	Fuzzy Finder og TUI app fyrir Jira.
fkill	Drepa ferla stórkostlega. Þverpallur.
flaarum	Gagnagrunnur sem framfylgir mannvirkjum
flacon-tabetai	Flacon dregur út lög úr hljóðskrá sem inniheldur alla tónlistarplötuna og vistar þau sem aðskildar hljóðskrár.
flagd	Auðlindafánapúki með Unix heimspeki
flameshot	Öflugur en einfaldur í notkun skjámyndahugbúnaður
flappy	Besti leikurinn sem „flapar“
flasharch	Flash SWF lesandi
flashcardsmobile	Besta flashcards appið.
flasktemp	flakapp
flasktemp-v2	flakapp
flatbuffers	FlatBuffers þýðandi
flat-remix	Flat Remix táknþema
flat-remix-gtk	Flat Remix GTK þema
flawfinder	Skoðar C/C++ frumkóða og tilkynnir um hugsanlegar öryggisgöt
flbmusic	Fallegur tónlistarspilari með mikla eiginleika
flen	Orðalengdarsía fyrir STDIN
flexran	FlexRAN SD-RAN pallur
flif	Öll verkfærin sem þú þarft fyrir ókeypis taplaust myndsnið
flightgear	FlightGear
flock-chat	Hjörð: Team Communication App
flokk-contacts	Flokk tengiliðir
flowchartor	flæðirit
flow	CLI DevOps
flstudio	Stafræn hljóðvinnustöð þróuð af Image-Line.
fluent-amqp	AMQP tól
fluent-bit	Afkastamikil logs og straumörgjörvi
fluffychat	Sætasti boðberinn í [matrix]
flutter-calculator	Einföld reiknivél skrifuð með pílu og flögri.
