0ad	古代戰爭即時策略遊戲
dbeaver-ce	通用資料庫管理器和 SQL 用戶端
dbgate	資料庫門
dbtarzan	資料庫瀏覽器
dcmio	DCMIO
dcd	D 程式語言的自動完成服務
dda	DuckDuckGo 即時答案 API 已帶到您的終端
ddclient-snap	更新動態 DNS 服務中帳戶的動態 DNS 項目。
ddctoolbox	在 Linux、Windows 和 macOS 上建立和編輯 ViPER DDC 文件
ddgr	從終端 DuckDuckGo
ddsol-speedtest	SpeedTest.net node.js 用戶端模組
deadbeef-vs	最好的音樂播放器
debris	完全 3D 渲染的小行星克隆
deckboard	甲板
deejai	根據音樂的聲音自動產生播放列表
deepin-image-viewer	深度影像檢視器
deepin-music	深沉的音樂
deepin-voice-recorder	深度錄音機
deep-space-fire	Deep Space Fire 是一款基於名為「戰艦」的流行棋盤遊戲的遊戲，適合兩名玩家。
deerportal	四大經典元素與全能鹿神驅動的多人桌遊
deezer-unofficial-player	非官方 Deezer 播放器
defold	用於高效能跨平台遊戲的遊戲引擎
dehasher	這個程式撤銷了我的演算法。在終端機中運行 dehasher 。
deja-dup	保護自己免於資料遺失
deliver-co	信差
dell-bios-fan-control	管理戴爾筆記型電腦上的 SMBIOS 風扇的簡單工具
deltachat-desktop	Delta Chat 是一款透過電子郵件運行的訊息傳遞應用程式
deluge-lukewh	Deluge 是一款功能齊全的跨平台 BitTorrent 用戶端
demo-amd64	AMD64 通用包
democracy	努力幫助民主
demo-curl	使用 URL 語法進行資料傳輸的命令列工具
demon-plane	策略遊戲
demonstracao	單行電梯推廣為您帶來精彩快照
demo-sara	演示薩拉
demo-ssp	演示快照
demo-usbutils	Linux USB 實用程式
demo-waynera	建立快照的演示
demo-wget	從網路恢復文件
denarius	銀幣
denaro	管理您的個人財務
den	適用於您終端的多人遊戲
deno	JavaScript 和 TypeScript 的安全運行時
deployer	Google Play 上的 Deployer 應用程式部署精靈以及更多內容。
deployment-playground	Deployment Playground 是一個測試部署項目
depsdev	deps.dev API 的 CLI 用戶端
derussy	步行遊覽德魯西堡。
deskconnd	網路上安全、跨平台的 IPC
deskconn	透過網路公開您的桌面功能
deskconn-router	透過網路公開您的桌面功能
gmail-app	桌面版 Gmail。
desktopreader	管理門禁系統中使用的 RF-ID 卡。
desktop-vision	桌面視圖
desky	桌面支援應用程式
deskypus	桌面貓
destructanks	Destructanks 是一款低多邊形破壞遊戲
destruction-darius	爆炸並獲勝
destructivator	Destructivator 是一款復古風格的平台射擊遊戲
detd	檢測。
dev-docs-io-on-desktop	dev-docs-io-no-desktop
developer-abdollah	噗噗噗
device-checkout	用於管理測試設備的基於 Web 的設備註冊表
device-config-demo	Ubuntu 設備配置
device-config-ui	設備配置快照的自訂 UI
devicehubdesktop	devicehub桌面
device-tree-compiler	設備樹編譯器
devicetree-compiler	簡單的snap提供devicetree編譯指令
devilutionx	適用於現代作業系統的暗黑破壞神版本
devinfo	開發人員用來檢查瀏覽器規格的系統/瀏覽器資訊頁面
devolo-home-network	devolo 家庭網路應用程式可輕鬆控制您的 devolo 適配器
devoperator	開發營運工具
devrantron	開發者Rantron
dev-time-cli	取得用戶在 GitHub 上的當地時間。
devtools	開發工具
devx-cl-tracker	DevX 追蹤器
dfix	自動更新D原始碼的開發者工具
dfmt	D 程式語言的程式碼格式化程式
dg-adw-gtk3-theme	受 Yaru 啟發的 GTK3 主題。
dgen	Sega dGen 控制台模擬器
dgraph	開源、可擴展、分散式、高可用、快速的圖資料庫
dhbw-mannheim-schedule	在 CLI 中顯示 DHBW Mannheim 時間表
diagon	來自 Markdown 風格表達的 Ascii 藝術生成器。
dialect	語言之間翻譯
sword	對話劍
cxcli	缺少與 Dialogflow CX 專案互動的 Dialogflow CLI
diary	記錄您的日常生活、事件、情緒、想法或感受等等。
dice	一個簡單的骰子遊戲
diceware-filiberto	透過連接單字的密碼產生器。
chronoburn	模擬人體新陳代謝的即時卡路里計數器
diff-so-fancy	美麗的差異。其實……不……最美的差異。
difftastic	結構化差異工具，根據文法比較文件
digger-classic	1983 經典挖掘機
digibyte-core	基於點對點的去中心化數位貨幣
digikam	照片管理程序
digital-signage-client	數位看板系統的 Linux 用戶端
dijo	dijo 是一個基於終端的習慣追蹤器
dimaappp	python測試包
diminutivecoin	小硬幣
dineorder-pos	餐廳銷售點
dinfo	數據資訊
dingtalk-notifier	只是讓釘釘網頁版更加引人注目。
dinkr-messaging	說早安以確保訊息安全
dino	即時恐龍
dippi	計算 DPI 和寬高比等顯示訊息
directpdf	使用 OCR 將影像轉換為 PDF 檔案。
direnv	direnv——組織你的 .profile
dirksu-hello	GNU 你好，你好世界快照
dirsize	命令列目錄報告工具
discographer	發現您喜愛的藝術家的完整唱片！
add-hours-and-minutes	已停產 - 請勿使用
enroute-flight-navigation	已停產 - 請勿使用
discord-canary	免費語音和文字聊天（金絲雀版）
discord	與社群和朋友聊天
dsctriage	Discourse 伺服器的命令列篩選工具
discuna	社區蓬勃發展的地方。
diskbuilder	用於為虛擬機構建立磁碟映像的實用工具。可透過 YAML 設定並輕鬆擴充。
disk-space-saver	磁碟空間分析器可節省數百GB！
dismissibledemo	Flutter 演示計數器應用程式
dispute	Nostr 的跨平台用戶端
distrobuilder	LXC 和 LXD 的影像產生器
dive	用於探索 docker 映像中每一層的工具
divoom-cli	命令列工具建構在 divoom API 之上，用於控制 divoom 設備，例如 pixoo。
divoom-gateway	提供帶有 swagger UI 的 REST API 閘道來控制 divoom 裝置。
djlbench	機器學習基準測試工具包
djv	用於電影、視覺效果和電腦動畫的電影播放軟體。
dlint	鼓勵更好、更安全的 Python 編碼實踐的工具
duolingo-desktop	Duolingo 語言學習應用程式的非官方桌面用戶端
dlna-downloader	從支援 DLNA 的裝置（例如 HDD VCR 和電視）下載影片、音樂和照片
dlv9	Delve 是 Go 程式語言的偵錯器。
dmd	D 程式語言的參考編譯器
dmidecode-snap	將電腦 DMI 表的內容轉儲為人類可讀的格式
dmidecode-tool	SMBIOS/DMI 表解碼器
dmrconfig-carroarmato0	DMRconfig 實用程序，可透過 USB 編程電纜對數位收音機進行編程。
dms-app	經銷商的 DMS 應用程式
dm-tools	適用於 Lazy DM 的命令列工具
dmtr	用於網路診斷的系統 ping 包裝器（CLI 版本）
hello-world-electron	電子反應
dns-check	測試 DNS 區域檔案的有效性
dnsimple-cli	DNSimple 的用戶端
dnslookup	使用任何協定進行 DNS 查找的簡單命令列工具。
dns-scout	適用於 Linux 的 DNS 資源管理器
dnstap-gael	dnstap：用於 DNS 伺服器的結構化且靈活的事件複製格式
docfetcher	文件獲取器
docker	Docker 容器運行時
docker-image-save	下載壓縮的 Docker 映像。
docsion	文件
doctl	DigitalOcean 官方命令列介面
documentation-builder	使用折扣建立 HTML 文件
documentnode	寫作靈活，輕鬆發布
dog	dog 是一個命令列 DNS 用戶端。
dogecoin-unofficial	狗狗幣的參考客戶端，一種點對點數位貨幣，如比特幣。
doggo	DNS 命令列用戶端。
dogsay	這就像cowsay，但與狗有關。
doh-simosx	使用 libcurl 並發出 DOH 請求的應用程式（透過 HTTPS 的 DNS）
dolearn	用於學習另一種語言詞彙的抽認卡應用程式。
dolgia-gsettings-consumer	基本 gsettings 消費者快照
dolphin	文件管理器
dolphin-emulator	Wii/GameCube 模擬器
domination	類似Risk的遊戲，但是是多用戶的
domisol	骨牌接龍版本
domodel-diary-electron	簡單的密碼保護日記
domoticz-gm	功能強大、功能齊全的家庭自動化
domotzpro-agent-publicstore	Domotz網路監控
donaldsebleung-com	我的個人網站已經重新建立了，這次是春天寫的
donkey-kong-craze	經典街機遊戲的重製版
donothing	……
doomrl	DRL（以前稱為 DoomRL）是一款 Roguelike 電玩遊戲
doorlin	組織者和 Teilen 團隊
dopebox	塗料盒
dopewars-text	在紐約街頭販毒發財…
dos32a	高級 DOS 擴展器 DOS/32
dosage-tracker	追蹤您的治療
dosage	劑量是一個漫畫書下載器和存檔器
dosage-johnblood378	劑量是一個漫畫書下載器和存檔器
dosbox-jz	開源 PC/MS-DOS 模擬器
dosbox-x	DOSBox 專案的 DOSBox-X 分支
dotdrop	儲存一次點檔案並將其部署到任何地方
dotman	用於管理點文件的命令列工具。
dotnet-runtime-60	跨平台.NET 運行時。
dotnet-runtime-70	跨平台 .NET Core 運行時。
dotnet-runtime-80	跨平台 .NET Core 運行時。
dotrun	用於執行 Node.js 和 Python 專案的命令列工具
dotup-app	來自 dotup.de 的 Flutter 演示應用程式
douban-fm	Ubuntu 版豆瓣FM。
dtis	Doubletapp 企業應用程式
doukutsu-rs	用 Rust 編寫的 Cave Story 引擎的完全可玩的重新實現。
downbook	免費下載您最喜歡的程式設計電子書！
downloadaccelerator	下載檔案的免費工具。
dl-ubuntu-test-iso	輕鬆下載 Ubuntu Daily ISO 和版本
null	∅
dracula-gtk-theme	德古拉對接端口。
dragonboard	Dragonbaord 支援包
dragon	簡單的影片播放器
dragonsapprentice	一款類似 RPG 的解謎地牢爬行遊戲等等！
drakon	DRAKON Editor 是一款用於建立圖表的免費工具。
nps-drakon	Drakon 提供了一種管理 UNIX 流程的簡單方法。
drawing	適用於 GNOME 桌面的繪圖應用程式
drawio	繪圖io
drcfrontend	DRC介面
dream-match-tennis	網球比賽
drepl	D 的 REPL
drive	用於命令列的 Google Drive 用戶端
drive-password	Drive Password 是一個完全基於 Google Drive 的密碼管理器。
drm-info	轉儲有關 DRM 設備的信息
drmips	教育 MIPS 模擬器
drogue-cli	Drogue IoT 命令列工具
droidian-installer	在支援的裝置上安裝 Droidian 的簡單方法。
dropboxignore	這都是關於丟失的 .dropboxignore 文件。
dscanner	用於 D 原始碼分析的開發工具
dsd-carroarmato0	DSD：數位語音解碼器
dssim	檢查兩個或多個 PNG 影像之間的相似性（不相似性）。
dstat-jamiebennett	Dstat 是 vmstat、iostat、mpstat、netstat 和 ifstat 的多功能替代方案。
dsv-cli	⚡ 來自 Delinea 的跨平台瑞士軍刀工具，用於 DevOps 秘密管理。
dub	應用程式和 D 庫的打包和建置管理器
duckdns-kyrofa	讓您的 DuckDNS 記錄保持最新
ducker	用於雲端虛擬機的駭客和庸醫 dockerd
duck-marines	Duck Marines 是 Sonic Team 的 ChuChu Rocket 的開源跨平台 PC 重製版。
duckmarines	ChuChu火箭重製版
duckpowered	節省能源並擁有高性能設備—同時實現！
dukto	一個簡單的跨平台區域網路檔案傳輸工具。
dumbproxy	有史以來最愚蠢的 HTTP 代理
dummy-speaker	非常愚蠢的揚聲器機器人
dump1090-carroarmato0	Flightaware S 模式解碼器
dune-2000	經典策略遊戲
dune-2-goldpath	經典策略遊戲《沙丘 2》
dungeon-backstage	幕後的地牢
dungeon-crawl	一款開源的 Roguelike 地下城冒險遊戲
dunner	基於 Docker 的任務運行工具
dupes	重複資料刪除實用程式
duplicity	有效率、加密地備份到本地或遠端主機
dust	dust (du + rust =dust) 是用 rust 寫成的 'du' 的替代品。
dvc	數據版本控制
dwarffortress	矮人要塞世界模擬器。
dwarfos-agent	Dwarfos 系統代理
dwi-refresh-test	測試
dyff	YAML 差異工具
dyna-blaster	DOS版本的炸彈人
dynahack	NetHack 變種
dynamips	恐龍足類
dynamodb-gui-client	DynamoDB 的 GUI 用戶端
barcode-reader	用於一維條碼、QR 碼、資料矩陣、PDF417、Aztec 碼、MaxiCode 的條碼 SDK
dynocsv	將 DynamoDB 表格匯出為 CSV
e2-sat-editor	解碼器的衛星頻道清單編輯器：Enigma2、Neutrino
earthcal	透過與地球週期同步來管理時間。
eask-cli	用於建置、運行、測試和管理 Emacs Lisp 依賴項的 CLI
easy2fa	易於使用的 CLI 兩因素身份驗證用戶端
easybash	GNU/Linux 中自動更新和磁碟清理的腳本。
easy-disk-cleaner	磁碟空間分析器可節省數百GB！
easy-file-organizer	簡單的檔案管理器
easyhour-desktop	輕鬆時光
easylogin	確保您的登入資訊私密且遠離雲端
easymp3gain	MP3Gain 的 GUI
easy-openvpn-server	一個極為簡單的 OpenVPN 伺服器。
easyorg	基於 Emacs Org 模式的待辦事項清單和註解。
easypos	EasyPos 恢復計費應用程式
easyreflectometry	EasyReflectometry 是用於建模和分析反射資料的科學軟體
easyrpg-player	EasyRPG Player 讓您可以玩用 RPG Maker 2000 和 2003 創建的遊戲
tcp-server-client-tool	輕鬆安裝以測試 TCP 連線。
easyvizar-detect	EasyVizAR 耳機的物體偵測
easyvizar-edge	EasyVizAR 耳機協調的中心點
ebook2cw	ebook2cw - 將電子書轉換為莫爾斯 MP3/OGG
ebuildtester	用於測試 Gentoo ebuild 及其相依性的工具
ec	Linux EC eeprom 驅動程式
echo2ui	應用程式崩潰時在 UI 中回顯
echoserver	一個簡單的回顯伺服器
eclipse	可擴展的工具平台和 Java IDE
eclipse-s-heuer	可擴展的工具平台和 Java IDE
ecoji	Ecoji 將資料編碼為表情符號。
edgeauth	適用於 EdgeCA 的 Edge 本機 JWT 驗證服務
edgeca	內存中的臨時 CA
edgehsm	適用於 EdgeCA 的邊緣本機 HSM 服務
edgeprov	邊緣省
ed-hello	GNU 你好，你好世界快照
edi	簡單的終端任務管理器
edubuntu-desktop-installer	Ubuntu Studio 系統安裝程式
edukit-bot-kyrofa	用於遙控 edukit 機器人的 ROS 系統
edumips64	免費、視覺化、跨平台 MIPS64 CPU 模擬器。
efendi-ac	Efendi Adhan 手錶
eggnoggplus	EGGNOGG+，一款在地多人競技街機遊戲
egk-reader	讀取 eGK 並透過 Websocket 提供資料。
ego-dev	EGo 讓您在 Intel SGX 上建置、偵錯和執行 Go 應用程式！
ehlo	虛擬工作場所，鼓勵直接在桌面上透過整合通訊層進行團隊協作。
eight-puzzle-manpreet	八謎Manpreet
linux-einstein	其他平台上的 Einstein - NewtonOS
eisenradio	Radio Collection，可以一次永久快取多個流。
eiskaltdcpp	使用DC和ADC協定的檔案共享程序
ejabberd	ejabberd XMPP 伺服器
electerm	電熱
electron-auto-update-example	電子自動更新範例
electron-auto-updater	自動電子更新器
electronhelloworld	電子世界
electronic-wechat	macOS 和 Linux 上更好的微信。用電子建構。
electronim	免費/免費開源即時通訊（IM）客戶端，基於Electron。
electron-mail	電子郵件
electron-mon3	電子-mon3
electronplayer	基於 Electron 的網路視訊服務播放器。支援 Netflix、Youtube、Twitch、Floatplane 等
electronplayer-portuguese	一款在 Linux 上觀看您喜愛的節目的應用程式
electron-quick-start	電子快速啟動
app-test-electron	街機遊戲
electron-store	電子商店
electrontestapp	電子申請
electrontest	測試
electron-todo	電子整體
electron-update-mechanism-example	電子升級機制範例
electrum	輕量級比特幣客戶端
elegant-screen-recorder	時尚的螢幕
element-desktop	功能豐富的 Matrix.org 用戶端
elements	元素週期表
elf-hunter-kyrofa	在目錄中搜尋奇怪的 ELF 文件
keylight-control	Elgato KeyLight 的 cli 工具
elisa	漂亮實用的音樂播放器，支援線上廣播
elite-mahjong	麻將拼圖
elixir-launcher	Elixir 遊戲
ellaswar	埃拉斯戰爭
ellipsetron	Ellipsetron 是一款街機/固定射擊遊戲，靈感來自於 Tempest 和 Gyruss 遊戲。
elliptic-curve-plotter	嘗試並嘗試橢圓曲線及其群定律。
el-novice	單行電梯推廣為您帶來精彩快照
eloleo	直接諮詢並告知我們附近的好產品。
elrond	艾爾隆德
emacs-tealeg	GNU Emacs 24.5
emby-server	將您的影片、音樂、照片和直播電視匯集在一起
emby-theater	將您的影片、音樂、照片和直播電視匯集在一起
e-mikrofirma	e-mikrofirma 重新包裝，波蘭政府計費工具
emoj	表情符號
emote	現代彈出表情符號選擇器
empoche	Empoche 將自動時間追蹤與任務和專案管理結合。了解您的時間都花在哪裡並提高工作效率
emqx	適用於 IoT、IIoT 和聯網車輛的最具擴展性的 MQTT 代理
emu2	emu2 - 一個簡單的 x86 + DOS 文字模式模擬器
emu48	HP48 計算器模擬器
flasher-enapter	用於上傳適用於各種 Enapter UCM 套件的 Espressif ESP32 晶片的最新 Enapter IoT 韌體的應用程式。
enclock	安全儲存您的資訊！
end-dayz	類似 DayZ 的遊戲，你需要尋找食物和水
endlesssky	《無盡的天空》是一款沙盒風格的太空探索遊戲。
energycoind	守護能源幣
energy-tools	適用於能源之星和 ErP Lot 3 或 Lot 26 的電動工具
engaged	馬夫
engauge-digitizer	以互動方式將點陣圖圖表或地圖轉換為數字。
enigma-game	恩尼格瑪謎題遊戲
enonic	Enonic XP 的命令列介面
enote	埃諾特
enpass	離線密碼管理器和安全保管庫。儲存並填寫您的所有密碼、卡片和其他資料。
enprot	Enprot 是文字和原始碼檔案的保密處理器。
entropypianotuner	一款鋼琴調音應用
enum4linux	列舉來自 Windows 和 Samba 系統的訊息
envgit	使用 env 執行另一個指令。從放置在 git 儲存庫中的檔案載入的變數
envprint-arno	第一張快照
envs	CLI 管理您環境的秘密。
envsecrets	CLI 管理您環境的秘密。
eomap-js	無限地圖編輯器
eos-voter	EOS投票者
epa-desktop-client	EPA 桌面用戶端白標籤
epicakigl	史詩
epicegl	埃皮採格爾
epicpinballpc	史詩彈珠台共享軟體
epictask	*Github* 問題都是你的！
epipolar-consistency	任兩個 X 光影像的一致性條件。
epitopepredict	MHC 結合預測工具
epmo-test	smartsheet 建立資料夾和工作表快照
eqonomize-hk	為小家庭提供高效率、輕鬆的會計服務
eraserix-3003-sensors	讀取並列印一些 Dells 3003 感測器
erin	艾琳
erlang	Erlang/OTP 程式語言和 Rebar3 建置工具。
errcheck	go 程式未選取錯誤檢查器
escaneamento	SAAS_掃描
espanso	用 Rust 編寫的跨平台文字擴展器
etcd	CoreOS 的彈性鍵值存儲
etcd-manager	具有現代使用者介面的免費跨平台 ETCD 用戶端
eternallands	Eternal Lands 是一款免費的圖形 MMORPG
eternalmodmanager	《DOOM Eternal》的模組管理器。
ethercalc-dholbach	EtherCalc 是一個網路電子表格。
ethr-johanburati	TCP、UDP 和 HTTP 網路效能測量工具
e-tools	開發人員的工具箱。顏色選擇器、程式碼格式化器等
etrace	etrace 追蹤程式以進行調試或效能分析
eucalyptus-console	Eucalyptus 管理控制台與您的 Eucalyptus 雲端一起使用
eucalyptus-tools	Euca2ools 與您的 Eucalyptus 雲端一起使用
eureka-doom-editor	Eureka 是經典 DOOM 遊戲的地圖編輯器。
euruspro-desktop	euruspro-桌面
everactive-cli	用於 Everactive IoT 平台的 CLI
everdo	Everdo 是一款適用於所有平台的高級 GTD 和任務應用程式
eversticky	與 Evernote 同步的便條用戶端。
evince	適用於流行文檔格式的文檔檢視器
xganolasmc	適合初學者的原生 Bash 應用程式。
exelearning	用於創建教育資源的免費開源編輯器。
exercism	https://exercism.io 的命令列用戶端
exers	敏捷數位看板的簡單範例
exodus-kubelogin	實作 Azure 驗證的 Kubernetes 憑證 (exec) 外掛
exoscale-cli	Exoscale 命令列工具
expect	自動化互動式應用程式
expense-sentry	費用哨兵
explode-bricks	非常簡單的積木遊戲
exploding-kittens-in-electron	桌上版卡牌遊戲《Exploding Kittens》的粉絲移植版
express-pos	市場上最快、最乾淨、最安全的方式來處理您的日常業務交易
extia-webapp	非官方 Extia 網路應用程式
extract-deb	提取 .deb 包
extreme-tux-racer	基於Tux Racer 的高速北極賽車遊戲。
eog	GNOME 影像檢視器之眼
eztv-watcher	eztv-watcher 是一個命令列實用程序，用於監視 eztv 上的程式並將種子下載到所需的目錄。
fab-agon-emulator	Fab Agon 模擬器
fablemaker	互動故事，您可以自訂角色、文字和聲音！
fabrica	只需將 Web 表單指向 git 樹即可建立快照
fabulist	專案和團隊溝通
facebook-webapp	Facebook 網路應用程式
facebook-webapp-mardy	Facebook 網路應用程式
factory-serial-vault	工廠的串列安全
fades	虛擬環境自動處理系統
fail	快照宇宙中最重要的快照
fairtris	經典俄羅斯方塊®電玩遊戲的公平實現。
fakecam	假相機
fakedns	適合滲透測試人員和惡意軟體分析師的小型 DNS 代理
falang	法蘭IDE
falkon	網頁瀏覽器
fallen-leaves	落葉
farfadox-launcher	Farfadox 官方啟動器。
farm-kill	在殭屍殺死你之前殺死盡可能多的殭屍！
fast-crypt	使用 AES（高級加密標準）快速加密和解密您的文字。
fast-crypto-exchange	即時、無限制、無帳戶的加密貨幣兌換商
fast	在終端機上測試您的網路下載速度。
favirecon	使用 favicon.ico 改善您的目標識別階段
fbots	微服務工作負載管理
fbrary	從命令列管理您的有聲讀物庫。
fbreader	您最喜歡的電子書閱讀器 - 新版本
fbuilder	基於流程的可視化編程
fcal	命令列日曆視圖
fcbnetmap	FCB部署中使用lldp將交換器連接埠對應到主機連接埠的工具
fcbtest	fcbtest 是 Rally + Tempest + refstack 測試
fce-ipmi	fce-ipmi 簡化了與「ipmitool」的交互
fclones	高效率的重複文件查找器和刪除器
fclones-gui	互動式重複文件查找器和刪除器
fcole90-hexgl-webapp	HexGL 的 Web 應用程式
fdic	STDIN 的字典過濾器
feathernotes	輕量級筆記管理器
fedistar	Fediverse 多欄桌面用戶端。
feedly-gui	Feedly 即時版本
feedreader	用於多個 Web 服務的 RSS 用戶端
feeling-finder	一個基於 Flutter 的快速、美觀的表情符號選擇器。
feenics-kiosk	Feenics Kiosk 應用程式可自動執行訪客入住和退房、旅遊建立和徽章列印。
feenics-universal	適用於 Linux 的 Feenics 通用客戶端
fennec	這個 fennec 套件提供了一種處理 CI 腳本的方法
fennma-hello	單行電梯推廣為您帶來精彩快照
ferdi	費迪
ferdium	將您最喜歡的訊息服務合併到一個應用程式中
feren-os-theme	Feren OS 的官方風格。
feroxbuster	用 Rust 寫的簡單、快速、遞歸的內容發現工具
fetch-btc	比特幣價格查找器
ffdiaporama-c18	照片和影片剪輯的電影製作者
ffmpeg-2204	core22 的 ffmpeg 內容快照
ffmpeg	用於錄製、轉換和串流音訊和視訊的完整解決方案。
panda-video-converter	適用於 Linux 發行版的 Panda Video Converter
ffmpeg-integration-lgpl	用於消費者快照的 FFmpeg 快照整合階段（符合 LGPL）
ffqueue	FFmpeg 的圖形使用者介面
ffsend	從命令列輕鬆安全地共享文件。
fguerzoni-hello	GNU 你好，你好世界快照
fial3d	具有 ASCII 圖形的 3D 四連勝遊戲
fiduswriter	學術協作文字處理器
fields	用於解析柱狀文字的 CLI 工具
fifo	先進先出
figlet	將大字母轉換為純文字的程序
figma-linux	Figma Linux
filebot	最好的電視和電影重命名器
filefly	在同一網路上的 Windows、Mac 和 Linux 裝置之間共用檔案。
filegrunt	圖像檔案比較實用程式
filelight	查看磁碟使用資訊
filemail-desktop	文件郵件桌面
file-manager	Linux 下的檔案管理器
fileserve	簡單的基於 Golang 的文件伺服器，用於從當前工作目錄提供靜態文件
fileshare	文件共享
filme	電影洪流助手實用程式
filmographer	只需點擊一下即可觀看所有電影！
findwords	尋找包含給定字母或字母範圍的單字的程序
fingerpaint	使用筆記型電腦的觸控板繪圖
fingrom	開源平台獨立財務會計應用
finroc-snap	my-finroc-snap-app 摘要
firecamp	火場
firefox	Mozilla 火狐瀏覽器
firemox	集換式卡牌遊戲
firestr	草計算平台
firetruck	Firestore Reconnect 重新構想
firewing64	3D平台
foxe-wine	免費 XML 編輯器
fishing-funds	在選單列中顯示中國資金的即時走勢。
fistful-of-gun	該遊戲是一款西方自上而下的街機射擊遊戲
fivefifteen	五點一刻
five-or-more	GNOME 5 個或更多
fiwe	菲維工作室
fjira	適用於 Jira 的 Fuzzy Finder 和 TUI 應用程式。
fkill	驚人地殺死進程。跨平台。
flaarum	強制結構的資料庫
flacon-tabetai	Flacon 從包含整張音樂專輯的音訊檔案中提取曲目，並將它們儲存為單獨的音訊檔案。
flagd	具有 Unix 哲學的資源標誌守護進程
flameshot	功能強大且簡單易用的截圖軟體
flappy	最好的「撲通撲通」遊戲
flasharch	快閃記憶體 SWF 閱讀器
flashcardsmobile	最好的抽認卡應用程式。
flasktemp	燒瓶應用程式
flasktemp-v2	燒瓶應用程式
flatbuffers	FlatBuffers 編譯器
flat-remix	平面混音圖示主題
flat-remix-gtk	Flat Remix GTK 主題
flawfinder	檢查 C/C++ 原始程式碼並報告潛在的安全漏洞
flbmusic	一款美觀、功能豐富的音樂播放器
flen	STDIN 的字長過濾器
flexran	FlexRAN SD-RAN 平台
flif	免費無損影像格式所需的所有工具
flightgear	飛行裝備
flock-chat	Flock：團隊溝通應用程式
flokk-contacts	弗洛克聯絡方式
flowchartor	流程圖
flow	CLI 開發營運
flstudio	Image-Line 開發的數位音訊工作站。
fluent-amqp	AMQP 實用程式
fluent-bit	高效能日誌和流處理器
fluffychat	【矩陣】裡最可愛的使者
flutter-calculator	用 dart 和 flutter 寫的簡單計算機。
flutter-codemagic-example	Flutter Codemagic 範例
flutter-desktop-sample	桌面計數器應用程式
flutter	顫動SDK
flutter-folio	可在您的所有裝置上無縫運行的剪貼簿應用程式
flutter-gallery-bugra	顫振畫廊
flutter-gallery	顫振畫廊
flutter-listview-preview	Flutter 列表視圖應用程式
flutter-manager	振動管理器
fnmap	nmap 的 GUI
opentrivia	顫振開放問答
flutter-portal-test	用於測試 Flutter 中入口網站支援的應用程式
flutter-system-monitor	使用 Flutter 製作的系統監視器（rtop）應用程式
fluttertestapp	Flutter 演示 Linux 計數器應用
flutter-ui-challenges	Flutter UI 挑戰
andrea-flyctl	Fly.io 的命令列介面
flyway	資料庫的版本控制
fman	適用於 Mac、Windows 和 Linux 的雙窗格檔案管理器
focusfocus	焦點焦點
folding-at-home-fcole90	在家折疊 - 透過分散式計算幫助研究
foliate	以時尚的方式閱讀電子書
fontvuer	字體
foobar2000	foobar2000 是一個先進的免費軟體音訊播放器。
foobillard-plus	英式撞球遊戲模擬器
foot-terminal	快速、輕量且簡約的 Wayland 終端模擬器
forecast	Gnome 天氣應用
foreplay	預提交掛鉤管理器
forest-app	森林
forest-server	林業伺服器
forexgeneral-trader	使用 OANDA 的 REST API 進行貨幣交易
fork-cleaner	從您的 GitHub 帳戶中清理舊的和不活動的分叉
formdev	表單開發
forspace	ERP Forspace 解決方案
fortask	任務
fortd	輕鬆將您的資料保存在您自己的資料中心
fortify	一款深度城堡防禦遊戲
fort-leto-cli	FORT leto 命令列實用程式
fortran-fpm	Fortran 套件管理器
fort-studio	FORmicidae Tracker 後處理流程的圖形使用者介面
fortune-cm	顯示隨機命運
fotograph	用於影像處理的開源跨平台桌面應用程式
foxglove-studio	機器人數據的可視化和調試工具
fractalattackonline	多人可破壞星球模擬！
fractalattack	可破壞的行星模擬。
fractal	Matrix 群組訊息應用
fragments	BitTorrent 用戶端
frame	適用於 macOS、Windows 和 Linux 的系統範圍 Web3
frame-it	在桌面系統上使用 Ubuntu Frame 的實用程序
franz-kafka	弗朗西斯科
freac	音訊轉換器和 CD 擷取工具
free42	HP-42S 計算器模擬器
freecad	開源參數化 3D CAD 建模器
freecad-mechanical	FreeCAD 機械師
freecad-realthunder	FreeCAD 開發分支，具有改進的 UI、渲染等功能
freecash-desktop	官方 FreeCash 桌面應用程式。
freecell-solitaire	空當接龍，紙牌遊戲
freeciv21	21 世紀的 Freeciv
freecol-linux	FreeCol 是一款 4X 電玩遊戲，是 Sid Meier 的《殖民》的克隆版。
freedcamp	免費露營
free-games-webapp	一個簡單的應用程序，提供一些靜態的基於節點的遊戲。
freemars	關於火星殖民的免費回合製策略遊戲。
freemat-unofficial	用於快速工程、科學原型設計和數據處理的免費環境
freemind	用Java編寫的一流心智圖軟體
freeorion-agrrr3	太空帝國與銀河征服的回合製電腦遊戲 (4X)
freeorion	太空帝國與銀河征服的回合製電腦遊戲 (4X)
freeplane-mindmapping	心智圖、知識和專案管理的應用
freeshow	一個基於 Electron 構建的免費開源演示器，任何人都可以輕鬆使用
freetube	一款保護隱私的開源 YouTube 應用程式。
freshenv	用於設定和管理本機開發人員環境的 CLI。
frets-on-fire	Frets on Fire 是一款考驗音樂技巧和快速手指的遊戲。
friendly-neighbor	友鄰網路服務
friendsreferee	好友裁判
frog	從圖像中提取文本
frogger-remake	經典街機遊戲的版本
